CourseID,YearMonth,EnrollmentCount,TotalRevenue,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherRating,YearsOfExperience,Expertise,PriceBand,DurationBucket,RatingTier,ExperienceBucket,ExpertiseMatchScore
CR00001,2025-01,18,8501.039999999999,Programming,Paid,Beginner,472.28,11.0,4.74,4.137777777777778,15.722222222222221,Cybersecurity,Medium,Medium,Excellent,Expert,0.1111111111111111
CR00001,2025-02,11,5195.08,Programming,Paid,Beginner,472.28,11.0,4.74,4.102727272727273,14.636363636363637,Cybersecurity,Medium,Medium,Excellent,Junior,0.2727272727272727
CR00001,2025-03,8,3778.24,Programming,Paid,Beginner,472.28,11.0,4.74,3.9274999999999998,13.625,Machine Learning,Medium,Medium,Excellent,Expert,0.125
CR00001,2025-04,14,6611.92,Programming,Paid,Beginner,472.28,11.0,4.74,3.9842857142857144,15.071428571428571,Cybersecurity,Medium,Medium,Excellent,Expert,0.14285714285714285
CR00001,2025-05,17,8028.759999999999,Programming,Paid,Beginner,472.28,11.0,4.74,4.44,19.294117647058822,Machine Learning,Medium,Medium,Excellent,Expert,0.058823529411764705
CR00001,2025-06,11,5195.08,Programming,Paid,Beginner,472.28,11.0,4.74,4.338181818181818,18.0,Cybersecurity,Medium,Medium,Excellent,Expert,0.09090909090909091
CR00001,2025-07,12,5667.36,Programming,Paid,Beginner,472.28,11.0,4.74,4.123333333333334,17.166666666666668,Machine Learning,Medium,Medium,Excellent,Expert,0.16666666666666666
CR00001,2025-08,12,5667.36,Programming,Paid,Beginner,472.28,11.0,4.74,4.585,19.0,Cybersecurity,Medium,Medium,Excellent,Expert,0.25
CR00001,2025-09,23,10862.439999999999,Programming,Paid,Beginner,472.28,11.0,4.74,4.098695652173913,16.391304347826086,Cybersecurity,Medium,Medium,Excellent,Expert,0.13043478260869565
CR00001,2025-10,13,6139.639999999999,Programming,Paid,Beginner,472.28,11.0,4.74,4.29,15.692307692307692,Machine Learning,Medium,Medium,Excellent,Expert,0.15384615384615385
CR00001,2025-11,13,6139.639999999999,Programming,Paid,Beginner,472.28,11.0,4.74,4.466153846153846,18.615384615384617,Cybersecurity,Medium,Medium,Excellent,Expert,0.0
CR00001,2025-12,12,5667.36,Programming,Paid,Beginner,472.28,11.0,4.74,3.735,15.75,Cybersecurity,Medium,Medium,Excellent,Expert,0.16666666666666666
CR00002,2025-01,11,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.251818181818182,18.545454545454547,Cybersecurity,Free,Long,Average,Expert,0.18181818181818182
CR00002,2025-02,10,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.662999999999999,18.7,Machine Learning,Free,Long,Average,Expert,0.1
CR00002,2025-03,15,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.423333333333333,18.733333333333334,Machine Learning,Free,Long,Average,Expert,0.06666666666666667
CR00002,2025-04,20,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,3.8924999999999996,15.75,Cybersecurity,Free,Long,Average,Expert,0.2
CR00002,2025-05,17,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,3.9505882352941173,12.823529411764707,Machine Learning,Free,Long,Average,Expert,0.35294117647058826
CR00002,2025-06,12,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.303333333333334,18.083333333333332,Machine Learning,Free,Long,Average,Expert,0.08333333333333333
CR00002,2025-07,9,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,3.9099999999999997,13.0,Machine Learning,Free,Long,Average,Expert,0.1111111111111111
CR00002,2025-08,17,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.291176470588235,17.470588235294116,Machine Learning,Free,Long,Average,Expert,0.11764705882352941
CR00002,2025-09,5,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.532,20.4,Machine Learning,Free,Long,Average,Expert,0.2
CR00002,2025-10,9,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.623333333333333,23.666666666666668,Cybersecurity,Free,Long,Average,Expert,0.0
CR00002,2025-11,11,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.017272727272727,15.545454545454545,Machine Learning,Free,Long,Average,Expert,0.18181818181818182
CR00002,2025-12,13,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,4.1923076923076925,16.384615384615383,Machine Learning,Free,Long,Average,Expert,0.23076923076923078
CR00003,2025-01,12,0.0,Programming,Free,Beginner,0.0,19.53,3.85,3.9066666666666667,14.583333333333334,Machine Learning,Free,Medium,Good,Expert,0.16666666666666666
CR00003,2025-02,10,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.156000000000001,16.7,Machine Learning,Free,Medium,Good,Expert,0.2
CR00003,2025-03,10,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.61,19.8,Cybersecurity,Free,Medium,Good,Expert,0.2
CR00003,2025-04,14,0.0,Programming,Free,Beginner,0.0,19.53,3.85,3.942142857142857,16.0,Cybersecurity,Free,Medium,Good,Expert,0.14285714285714285
CR00003,2025-05,13,0.0,Programming,Free,Beginner,0.0,19.53,3.85,3.326923076923077,10.076923076923077,Cybersecurity,Free,Medium,Good,Expert,0.07692307692307693
CR00003,2025-06,16,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.26375,16.6875,Cybersecurity,Free,Medium,Good,Expert,0.3125
CR00003,2025-07,17,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.177058823529412,18.176470588235293,Cybersecurity,Free,Medium,Good,Expert,0.058823529411764705
CR00003,2025-08,16,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.3875,19.5,Cybersecurity,Free,Medium,Good,Expert,0.0625
CR00003,2025-09,14,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.245,18.571428571428573,Cybersecurity,Free,Medium,Good,Expert,0.0
CR00003,2025-10,15,0.0,Programming,Free,Beginner,0.0,19.53,3.85,3.9466666666666668,14.8,Cybersecurity,Free,Medium,Good,Expert,0.2
CR00003,2025-11,23,0.0,Programming,Free,Beginner,0.0,19.53,3.85,4.073913043478261,17.304347826086957,Machine Learning,Free,Medium,Good,Expert,0.08695652173913043
CR00003,2025-12,13,0.0,Programming,Free,Beginner,0.0,19.53,3.85,3.917692307692308,15.923076923076923,Cybersecurity,Free,Medium,Good,Expert,0.23076923076923078
CR00004,2025-01,20,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.1195,14.5,Machine Learning,Free,VeryLong,Average,Expert,0.2
CR00004,2025-02,12,0.0,Programming,Free,Beginner,0.0,45.13,2.88,3.893333333333333,14.916666666666666,Cybersecurity,Free,VeryLong,Average,Expert,0.0
CR00004,2025-03,10,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.117,16.3,Cybersecurity,Free,VeryLong,Average,Expert,0.1
CR00004,2025-04,7,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.8585714285714285,21.857142857142858,Machine Learning,Free,VeryLong,Average,Expert,0.0
CR00004,2025-05,11,0.0,Programming,Free,Beginner,0.0,45.13,2.88,3.777272727272727,15.181818181818182,Cybersecurity,Free,VeryLong,Average,Expert,0.18181818181818182
CR00004,2025-06,11,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.0618181818181816,16.363636363636363,Cybersecurity,Free,VeryLong,Average,Expert,0.2727272727272727
CR00004,2025-07,21,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.152857142857142,16.61904761904762,Machine Learning,Free,VeryLong,Average,Expert,0.09523809523809523
CR00004,2025-08,9,0.0,Programming,Free,Beginner,0.0,45.13,2.88,3.1744444444444446,8.444444444444445,Machine Learning,Free,VeryLong,Average,Expert,0.2222222222222222
CR00004,2025-09,15,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.332666666666666,17.266666666666666,Cybersecurity,Free,VeryLong,Average,Expert,0.26666666666666666
CR00004,2025-10,13,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.487692307692308,17.076923076923077,Machine Learning,Free,VeryLong,Average,Expert,0.38461538461538464
CR00004,2025-11,15,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.0713333333333335,16.533333333333335,Cybersecurity,Free,VeryLong,Average,Expert,0.13333333333333333
CR00004,2025-12,10,0.0,Programming,Free,Beginner,0.0,45.13,2.88,4.039,16.2,Cybersecurity,Free,VeryLong,Average,Expert,0.0
CR00005,2025-01,11,0.0,Programming,Free,Beginner,0.0,28.68,1.28,3.9254545454545453,13.0,Cybersecurity,Free,Long,Poor,Expert,0.2727272727272727
CR00005,2025-02,15,0.0,Programming,Free,Beginner,0.0,28.68,1.28,3.848666666666667,16.933333333333334,Cybersecurity,Free,Long,Poor,Expert,0.06666666666666667
CR00005,2025-03,20,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.2045,17.0,Machine Learning,Free,Long,Poor,Expert,0.1
CR00005,2025-04,10,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.269,18.1,Machine Learning,Free,Long,Poor,Expert,0.2
CR00005,2025-05,18,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.023333333333333,16.333333333333332,Machine Learning,Free,Long,Poor,Expert,0.1111111111111111
CR00005,2025-06,16,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.2993749999999995,17.0625,Cybersecurity,Free,Long,Poor,Expert,0.0625
CR00005,2025-07,14,0.0,Programming,Free,Beginner,0.0,28.68,1.28,3.4971428571428573,11.0,Machine Learning,Free,Long,Poor,Expert,0.14285714285714285
CR00005,2025-08,11,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.585454545454545,18.545454545454547,Machine Learning,Free,Long,Poor,Expert,0.2727272727272727
CR00005,2025-09,14,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.073571428571428,15.571428571428571,Cybersecurity,Free,Long,Poor,Expert,0.14285714285714285
CR00005,2025-10,13,0.0,Programming,Free,Beginner,0.0,28.68,1.28,4.095384615384615,15.384615384615385,Cybersecurity,Free,Long,Poor,Expert,0.23076923076923078
CR00005,2025-11,11,0.0,Programming,Free,Beginner,0.0,28.68,1.28,3.9527272727272726,14.0,Cybersecurity,Free,Long,Poor,Expert,0.2727272727272727
CR00005,2025-12,13,0.0,Programming,Free,Beginner,0.0,28.68,1.28,3.974615384615385,15.923076923076923,Machine Learning,Free,Long,Poor,Expert,0.07692307692307693
CR00006,2025-01,11,3040.07,Design,Paid,Advanced,276.37,48.84,2.72,4.18,17.90909090909091,Machine Learning,Medium,VeryLong,Average,Expert,0.2727272727272727
CR00006,2025-02,14,3869.1800000000003,Design,Paid,Advanced,276.37,48.84,2.72,4.3185714285714285,18.571428571428573,Machine Learning,Medium,VeryLong,Average,Expert,0.07142857142857142
CR00006,2025-03,16,4421.92,Design,Paid,Advanced,276.37,48.84,2.72,4.13125,15.625,Machine Learning,Medium,VeryLong,Average,Expert,0.1875
CR00006,2025-04,13,3592.81,Design,Paid,Advanced,276.37,48.84,2.72,4.3,16.76923076923077,Cybersecurity,Medium,VeryLong,Average,Expert,0.46153846153846156
CR00006,2025-05,17,4698.29,Design,Paid,Advanced,276.37,48.84,2.72,4.394705882352941,18.235294117647058,Cybersecurity,Medium,VeryLong,Average,Expert,0.35294117647058826
CR00006,2025-06,13,3592.81,Design,Paid,Advanced,276.37,48.84,2.72,3.7430769230769227,14.384615384615385,Machine Learning,Medium,VeryLong,Average,Expert,0.38461538461538464
CR00006,2025-07,8,2210.96,Design,Paid,Advanced,276.37,48.84,2.72,4.33,18.5,Machine Learning,Medium,VeryLong,Average,Expert,0.25
CR00006,2025-08,15,4145.55,Design,Paid,Advanced,276.37,48.84,2.72,3.683333333333333,14.2,Business,Medium,VeryLong,Average,Senior,0.4
CR00006,2025-09,10,2763.7,Design,Paid,Advanced,276.37,48.84,2.72,4.07,16.4,Machine Learning,Medium,VeryLong,Average,Expert,0.4
CR00006,2025-10,13,3592.81,Design,Paid,Advanced,276.37,48.84,2.72,3.8400000000000003,15.461538461538462,Cybersecurity,Medium,VeryLong,Average,Expert,0.38461538461538464
CR00006,2025-11,14,3869.1800000000003,Design,Paid,Advanced,276.37,48.84,2.72,4.389285714285714,19.071428571428573,Machine Learning,Medium,VeryLong,Average,Expert,0.14285714285714285
