Feature,Importance
num__CoursePrice,2372.306390475687
cat__Expertise_Project Management,905.5989879031752
cat__Expertise_Web Development,551.4331442297529
cat__CourseCategory_Cybersecurity,420.8886527166675
cat__CourseCategory_Machine Learning,351.13250577666435
cat__PriceBand_Medium,293.3032450739651
cat__ExperienceBucket_Expert,284.2831295688161
cat__CourseCategory_Digital Marketing,268.336343177384
cat__ExperienceBucket_Junior,246.3213574404595
cat__Expertise_Finance,239.19858290140795
cat__CourseCategory_Project Management,223.7744907994776
cat__CourseCategory_Marketing,200.55532669450727
cat__Expertise_Digital Marketing,197.30994907699784
cat__CourseCategory_Programming,185.14945431114188
num__ExpertiseMatchScore,184.31453991832308
cat__PriceBand_Low,163.54742348170933
cat__DurationBucket_Short,136.06911424042588
cat__CourseType_Free,129.75582159285938
cat__PriceBand_Free,129.75582159285938
cat__CourseType_Paid,129.75582159232886
cat__Expertise_Machine Learning,124.92272964990657
cat__ExperienceBucket_Mid,124.15136165023732
cat__DurationBucket_VeryLong,122.25841358074518
cat__Expertise_Data Science,119.58080884291944
cat__CourseCategory_Finance,110.22574864728439
cat__Expertise_Cybersecurity,99.21428470702335
cat__CourseCategory_Design,95.2949923631783
num__CourseRating,90.09935859815002
cat__ExperienceBucket_Senior,86.18958952181984
cat__CourseCategory_Artificial Intelligence,85.17367187806212
cat__Expertise_Artificial Intelligence,68.58389881248605
cat__DurationBucket_Medium,66.50402534442465
cat__CourseLevel_Intermediate,57.92369424496849
num__TeacherRating,55.422282858599864
num__YearsOfExperience,53.541239913947884
cat__DurationBucket_Long,52.69332468468903
cat__CourseCategory_Data Science,46.90363768731511
cat__Expertise_Business,46.370381603441885
cat__RatingTier_Average,46.03263396256594
cat__CourseLevel_Advanced,35.80462170407557
cat__CourseCategory_Business,32.5036200464335
num__CourseDuration,28.717820312945697
cat__CourseCategory_Web Development,28.34714551250573
cat__RatingTier_Good,23.257430540508853
cat__CourseLevel_Beginner,22.119072540970734
cat__RatingTier_Excellent,15.290420326778973
cat__RatingTier_Poor,7.484783095212368
